party,electorate,first_name,last_name,twitter_url,gender,tweet_id,created_at,retrieved_at,user_id,username,text,retweeted_tweet_id,retweeted_user_id,retweeted_user_name,in_reply_to_tweet_id,in_reply_to_user_id,in_reply_to_user_name,quoted_tweet_id,quoted_user_id,quoted_user_name,theme_claude
Queensland Labor,Inala,Annastacia,Palaszczuk,https://twitter.com/AnnastaciaMP,F,1318007671388135424,2020-10-19T01:54:50.000000+0000,2020-10-19 13:15:37.000 +0000,256833444,AnnastaciaMP,Queensland’s economic recovery plan has a laser-like focus on small businesses and we’re going to support them as they grow and create jobs.,,,,1318007669244874753,256833444,AnnastaciaMP,,,,promise
Queensland Labor,Inala,Annastacia,Palaszczuk,https://twitter.com/AnnastaciaMP,F,1319435411152723969,2020-10-23T00:28:10.000000+0000,2020-10-23 06:01:46.000 +0000,256833444,AnnastaciaMP,"Our ambos support Queenslanders, and we’re supporting our ambos with $31 million for new and replacement ambulance stations across Queensland if re-elected.

It will also boost local jobs and businesses, supporting 86 full time equivalent construction jobs. https://t.co/kLBJTnYcWs",,,,,,,,,,promise
Queensland Labor,Cairns,Michael,Healy,https://twitter.com/MichaelHealyMP,M,1317787076151156736,2020-10-18T11:18:16.000000+0000,2020-10-19 02:14:53.000 +0000,2185743007,MichaelHealyMP,"Early voting starts tomorrow at the Cairns Showgrounds, friends.

Please vote For Cairns.
For Education.
For Health.
For the Hospital.
For the Arts.
For the Environment.
For Small Business.
For Jobs.
For the Community.
For All Of Us.

Please VOTE 1 HEALY FOR CAIRNS https://t.co/0bdyUleGQV",,,,,,,,,,other
Queensland Labor,Inala,Annastacia,Palaszczuk,https://twitter.com/AnnastaciaMP,F,1317648719987175424,2020-10-18T02:08:30.000000+0000,2020-10-18 15:04:10.000 +0000,256833444,AnnastaciaMP,"Queensland - I can’t thank you enough.

We had a call to arms and you answered it.

And because of that, our economy is opening up.

We can focus on supporting and creating the jobs that will keep us moving forward.

#teamqld #qldvotes https://t.co/w7pXqrYOH2",,,,,,,,,,promise
Queensland Labor,Inala,Annastacia,Palaszczuk,https://twitter.com/AnnastaciaMP,F,1317707734024966144,2020-10-18T06:03:00.000000+0000,2020-10-18 15:04:10.000 +0000,256833444,AnnastaciaMP,"I will always do the right thing by Queensland and today it was terrific to launch Labor’s campaign for 2020.

We’ve made major commitments on education, training for our under 25s, manufacturing and TAFE.

We have a plan that’s focused on jobs, jobs and more jobs.

#qldjobs https://t.co/z4QSuWWI90",,,,,,,,,,promise
Queensland Labor,Gladstone,Glenn,Butcher,https://twitter.com/GlennButcherMP,M,1317722863395172353,2020-10-18T07:03:07.000000+0000,2020-10-18 20:04:29.000 +0000,3307517665,GlennButcherMP,"More support for Queensland manufacturers to move into advanced manufacturing, grow their businesses, bring more of their manufacturing back to Queensland and create more jobs for Queenslanders. #MakingItInQLD #qldpol #qldjobs https://t.co/nlrg6iQ9Pd",,,,,,,1317690338987757572,256833444,AnnastaciaMP,promise
Queensland Labor,Inala,Annastacia,Palaszczuk,https://twitter.com/AnnastaciaMP,F,1317734409605279744,2020-10-18T07:49:00.000000+0000,2020-10-18 15:04:10.000 +0000,256833444,AnnastaciaMP,"My promise to every Queenslander is that in everything we do, in every part of Queensland, we will create jobs. https://t.co/vL9llz7U2N",,,,,,,,,,promise
Queensland Labor,Inala,Annastacia,Palaszczuk,https://twitter.com/AnnastaciaMP,F,1317767628727963648,2020-10-18T10:01:00.000000+0000,2020-10-18 15:04:10.000 +0000,256833444,AnnastaciaMP,"At this election Queenslanders have a very clear choice to make about the future of our state.

Strong and safe, or cuts and chaos. 

I'm asking for the opportunity to continue our plan to keep Queenslanders safe and in jobs. https://t.co/JsFHCcU4s1",,,,,,,,,,promise
Queensland Labor,Cairns,Michael,Healy,https://twitter.com/MichaelHealyMP,M,1317703477829644288,2020-10-18T05:46:05.000000+0000,2020-10-19 02:14:53.000 +0000,2185743007,MichaelHealyMP,"The Palaszczuk Government worked hard to restore frontline jobs that were cut under Campbell Newman and Deb Frecklington. Now the LNP are promising a 4-year surplus &amp; the only way they can do that is to cut jobs. 
We can't cut our way to recovery.
And we can't risk the LNP. https://t.co/nLGm8HWfbL",,,,,,,,,,cuts
Queensland Labor,Cairns,Michael,Healy,https://twitter.com/MichaelHealyMP,M,1317704972927029254,2020-10-18T05:52:01.000000+0000,2020-10-19 02:14:53.000 +0000,2185743007,MichaelHealyMP,"Healthy Community. Healthy Economy.
It's that simple.

VOTE 1️⃣ HEALY FOR CAIRNS 

For Health.
For the Hospital.
For the Economy.
For Small Business.
For Education.
For Jobs.
For the Community.
FOR ALL OF US. https://t.co/8l12oJ291U",,,,,,,,,,other
Queensland Labor,Cairns,Michael,Healy,https://twitter.com/MichaelHealyMP,M,1317706769016090625,2020-10-18T05:59:10.000000+0000,2020-10-19 02:14:53.000 +0000,2185743007,MichaelHealyMP,"Read the Labor Government's Economic Recovery Plan here:
https://t.co/fhz6GyjkS2

VOTE 1️⃣ HEALY FOR CAIRNS 

For Health. For the Hospital. For the Economy. For Small Business. For Education. For Jobs. For the Community.
FOR ALL OF US. https://t.co/k7ZLc9gh4p",,,,,,,,,,other
Queensland Labor,Cairns,Michael,Healy,https://twitter.com/MichaelHealyMP,M,1317713495958286336,2020-10-18T06:25:54.000000+0000,2020-10-19 02:14:53.000 +0000,2185743007,MichaelHealyMP,"Queensland's economic recovery is only possible because of Labor's strong health response. 
Deb Frecklington will cut thousands of Queensland jobs in order to achieve a surplus. 
We can't cut our way to recovery. 
Queensland can't risk the LNP's cuts.

VOTE 1️⃣ HEALY FOR CAIRNS https://t.co/aP2MvDsHoD",,,,,,,,,,cuts
Queensland Labor,Cairns,Michael,Healy,https://twitter.com/MichaelHealyMP,M,1317721501454327810,2020-10-18T06:57:42.000000+0000,2020-10-19 02:14:53.000 +0000,2185743007,MichaelHealyMP,"* jobs for local tradies &amp; a boost for local communities, critical to Qld’s economic recovery.

We want every Queensland child, wherever they live, to have access to high-quality learning facilities.

Voting Starts Monday.
VOTE 1️⃣ HEALY FOR CAIRNS 
HEALY FOR EDUCATION.",,,,1317721160818151424,2185743007,MichaelHealyMP,,,,promise
Queensland Labor,Cairns,Michael,Healy,https://twitter.com/MichaelHealyMP,M,1317726297439817733,2020-10-18T07:16:46.000000+0000,2020-10-19 02:14:53.000 +0000,2185743007,MichaelHealyMP,"it's no secret, the Palazczuk Government are focussed on health.
So it fills me with pride to announce that a record 9,475 frontline health jobs will be created in Queensland. https://t.co/195mSiMxJm",,,,,,,,,,promise
Queensland Labor,Cairns,Michael,Healy,https://twitter.com/MichaelHealyMP,M,1317726728832180224,2020-10-18T07:18:28.000000+0000,2020-10-19 02:14:53.000 +0000,2185743007,MichaelHealyMP,"What does this mean for Cairns? 
🏥  492 more nurses and midwives
👩‍⚕️  92 more doctors
🚑  130 more allied health professionals

Across Qld, there's 9475 secure jobs created within Qld Health &amp; Qld Ambulance Service will be supported with an increase in frontline support roles.",,,,1317726297439817733,2185743007,MichaelHealyMP,,,,promise
Queensland Labor,Cairns,Michael,Healy,https://twitter.com/MichaelHealyMP,M,1317726952053035010,2020-10-18T07:19:22.000000+0000,2020-10-19 02:14:53.000 +0000,2185743007,MichaelHealyMP,"We are fighting hard to keep the community healthy, so the health of our economy can improve.
Early Voting Starts Monday.
VOTE 1️⃣ HEALY FOR CAIRNS 
👉 For Health.
👉 For the Hospital.
👉 For the Economy.
👉 For Small Business.
👉 For Education.
👉 For Jobs.
👉 FOR ALL OF US.",,,,1317726728832180224,2185743007,MichaelHealyMP,,,,other
Queensland Labor,Waterford,Shannon,Fentiman,https://twitter.com/ShannonFentiman,F,1317634685401378816,2020-10-18T01:12:44.000000+0000,2020-10-18 06:53:37.000 +0000,2186029770,ShannonFentiman,"JUST ANNOUNCED: Free TAFE for Queenslanders under 25. 
 
We know providing young Queenslanders with skills for jobs now and into the future is vital to Queensland’s economic recovery. 

#Qldpol #TeamQld https://t.co/DxCbuMIS5I",,,,,,,,,,promise
Liberal National,Nanango,Deb,Frecklington,https://twitter.com/DebFrecklington,F,1317282703176130562,2020-10-17T01:54:05.000000+0000,2020-10-17 20:32:58.000 +0000,632577753,DebFrecklington,"The @LNPQLD will back local first and ensure gov contracts go to Qld businesses in the food, manufacturing and medical supplies industries under a new mandate. Our plan will be kickstarted with a $25m plan to replace the ageing marine rescue fleet, securing more jobs. #qldpol https://t.co/qNlvChkwXL",,,,,,,,,,promise
Queensland Labor,Miller,Mark,Bailey,https://twitter.com/MarkBaileyMP,M,1317615616459591682,2020-10-17T23:56:57.000000+0000,2020-10-18 02:33:21.000 +0000,984808496,MarkBaileyMP,"The ⁦@AnnastaciaMP⁩ ⁦@QLDLabor⁩ Campaign Launch is a few minutes from go at Beenleigh! 

It’s the most industrial launch setting I’ve ever seen... because Labor believe in jobs, not ⁦@LNPQLD⁩ cuts https://t.co/4Cg2fr40QI",,,,,,,,,,promise
Queensland Labor,Maiwar,Palani,Thevar,https://twitter.com/palanithevar,M,1317257923299479553,2020-10-17T00:15:37.000000+0000,2020-10-17 14:32:35.000 +0000,86282952,palanithevar,"This is a truer reflection of the jobs situation in Queensland;  better than the 'doom and gloom' news from LNP. 
#qldpol https://t.co/KzsTA9Hnsl",,,,,,,,,,other
Queensland Labor,Inala,Annastacia,Palaszczuk,https://twitter.com/AnnastaciaMP,F,1317193344569651200,2020-10-16T19:59:00.000000+0000,2020-10-17 16:52:44.000 +0000,256833444,AnnastaciaMP,"Queenslanders have done such a great job of fighting this virus that we’ve been able to ease restrictions on dancing at weddings and formals, as well as allow aged care residents to get out and about again. 

As always - stay safe Queensland. https://t.co/6wWp5CLc38",,,,,,,,,,other
Queensland Labor,Inala,Annastacia,Palaszczuk,https://twitter.com/AnnastaciaMP,F,1317287796709584896,2020-10-17T02:14:19.000000+0000,2020-10-17 16:52:44.000 +0000,256833444,AnnastaciaMP,We understand the tourism industry has been one of the hardest hit during the pandemic and we need to support it as part of our economic recovery plan. Queensland’s strong health response and economic recovery plan means Queensland is good to go and open for business. #qldjobs,,,,1317287442093805568,256833444,AnnastaciaMP,,,,promise
Queensland Labor,Inala,Annastacia,Palaszczuk,https://twitter.com/AnnastaciaMP,F,1317322509910372352,2020-10-17T04:32:15.000000+0000,2020-10-17 16:52:44.000 +0000,256833444,AnnastaciaMP,.@AustraliaZoo was one of thousands of Queensland businesses affected by COVID-19. Queensland’s strong health response to the pandemic has meant places such as Australia Zoo could open their doors sooner and get on the road to recovery #qldjobs #qldvotes @terriirwin @robertirwin https://t.co/PxhURDhmZf,,,,,,,,,,promise
Queensland Labor,Inala,Annastacia,Palaszczuk,https://twitter.com/AnnastaciaMP,F,1317373268379095040,2020-10-17T07:53:57.000000+0000,2020-10-17 16:52:44.000 +0000,256833444,AnnastaciaMP,"The Sunshine Coast’s @AustraliaZoo was the perfect place to announce our $74 million package for Queensland’s tourism industry.

@terriirwin @robertirwin #qldjobs https://t.co/0WRoXK4xKK",,,,,,,,,,promise
Queensland Labor,Inala,Annastacia,Palaszczuk,https://twitter.com/AnnastaciaMP,F,1317373375732350976,2020-10-17T07:54:23.000000+0000,2020-10-17 16:52:44.000 +0000,256833444,AnnastaciaMP,"A re-elected Palaszczuk Government will deliver the Rebuilding Tourism Plan to ensure one of our most important industries is supported during one of the toughest economic times we’ve lived through.

Tourism is an essential part of Queensland’s economic recovery plan.

#qldjobs",,,,1317373268379095040,256833444,AnnastaciaMP,,,,promise
Queensland Labor,Inala,Annastacia,Palaszczuk,https://twitter.com/AnnastaciaMP,F,1317389891647336449,2020-10-17T09:00:00.000000+0000,2020-10-17 16:52:44.000 +0000,256833444,AnnastaciaMP,Spent some time @AustraliaZoo  with my family today and about the only animal missing was a unicorn! Our $74 million Rebuilding Tourism Plan will help Queensland tourism businesses get back on their feet and be more resilient as they recover from the COVID19 pandemic #qldjobs https://t.co/Da1bzANJqG,,,,,,,,,,promise
Queensland Labor,Inala,Annastacia,Palaszczuk,https://twitter.com/AnnastaciaMP,F,1317397188066955264,2020-10-17T09:29:00.000000+0000,2020-10-17 16:52:44.000 +0000,256833444,AnnastaciaMP,"Spent some time at Australia Zoo with my family today ❤️️

Our $74 million Rebuilding Tourism Plan will help Queensland tourism get back on its feet and be more resilient as we continue to navigate the effects of the pandemic.

All part of our economic recovery plan. #qldjobs https://t.co/XLEyNpvkWd",,,,,,,,,,promise
Queensland Labor,Coomera,Chris,Johnson,https://twitter.com/chris4coomera,M,1317612339907063808,2020-10-17T23:43:56.000000+0000,2020-10-18 16:24:15.000 +0000,886091140151115776,Chris4Coomera,"Out again on the beautiful Sunday AM with the Coomera Crew!
#qldpol #auspol #jobsnotcuts https://t.co/AoKhzhp2mM",,,,,,,,,,other
Queensland Labor,Gladstone,Glenn,Butcher,https://twitter.com/GlennButcherMP,M,1317635910419107843,2020-10-18T01:17:36.000000+0000,2020-10-18 20:04:29.000 +0000,3307517665,GlennButcherMP,"Giving Queenslanders the skills they need for secure, well paid jobs. #qldjobs https://t.co/MdxzftxzB3",,,,,,,1317634685401378816,2186029770,ShannonFentiman,promise
N/A (Independent),Miller,Edward,Carroll,https://twitter.com/edwardian_times,M,1318220787715698688,2020-10-19T16:01:41.000000+0000,2020-10-20 06:56:48.000 +0000,2854730388,edwardian_times,"@lutajobe I'll never understand why people don't think of games as a great form of entertainment. It's fun, social, interactive and (mostly) relaxing",,,,1318109485769007105,143381337,lutajobe,,,,other
Queensland Labor,Waterford,Shannon,Fentiman,https://twitter.com/ShannonFentiman,F,1318342533303291905,2020-10-20T00:05:28.000000+0000,2020-10-20 03:16:34.000 +0000,2186029770,ShannonFentiman,"Our #CutsBus has reached Bundaberg today to remind locals of the ruthless job cuts from Deb Frecklington and the LNP. 🚌✂️

Qld can’t risk another round of disastrous LNP cuts at a time when we need to create more jobs.

#dontrisklnpcuts https://t.co/k7KDhJILYz",,,,,,,,,,cuts
Queensland Labor,Waterford,Shannon,Fentiman,https://twitter.com/ShannonFentiman,F,1318357090792996864,2020-10-20T01:03:18.000000+0000,2020-10-20 03:16:34.000 +0000,2186029770,ShannonFentiman,"Stopped by QBuild while on the #cutsbus with @DrAnthonyLynham 

The Palaszczuk Labor Govt is committed to rebuilding QBuild - to employ 300 extra tradies including 60 apprentices over the next 3 yrs.

We can’t trust the LNP with jobs.

#qldpol #dontrisklnpcuts https://t.co/1RXClDmMdQ",,,,,,,,,,promise
Queensland Labor,Waterford,Shannon,Fentiman,https://twitter.com/ShannonFentiman,F,1318359294677377025,2020-10-20T01:12:04.000000+0000,2020-10-20 03:16:34.000 +0000,2186029770,ShannonFentiman,Great news for Logan today #qldjobs #qldpol https://t.co/AAdvFjAWkb,,,,,,,1318353086662938624,256833444,AnnastaciaMP,other
Liberal National,Nanango,Deb,Frecklington,https://twitter.com/DebFrecklington,F,1318361165416730624,2020-10-20T01:19:30.000000+0000,2020-10-20 15:07:21.000 +0000,632577753,DebFrecklington,The @LNPQLD will deliver a $50m  marketing tourism blitz to Queensland attracting 2 million more visitors who will spend an additional $1.7 billion in Queensland. It’s all about creating and protecting jobs in the regions and bringing tourists to the sunshine state. #qldpol https://t.co/1C4ccqR6LC,,,,,,,,,,promise
Queensland Labor,Miller,Mark,Bailey,https://twitter.com/MarkBaileyMP,M,1318373078896816130,2020-10-20T02:06:50.000000+0000,2020-10-20 21:07:45.000 +0000,984808496,MarkBaileyMP,"Only @AnnastaciaMP &amp; @QLDLabor has a strongrecord of M1 upgrades after not one new $ went on M1 when @LNPQLD last in power.

So much work &amp; so many jobs every time I drive past! 💪💪😊👍 https://t.co/xGJLeWxtkL",,,,,,,,,,promise
Queensland Labor,Ipswich,Jennifer,Howard,https://twitter.com/JenMP4Ipswich,F,1318310960415735809,2020-10-19T22:00:00.000000+0000,2020-10-20 17:57:34.000 +0000,2697320623,JenMP4Ipswich,"The LNP are obsessed with delivering a surplus.

To do so, they would have to sack 30,000 QLDers.

The Palaszczuk Labor Government is focused on creating jobs, while the LNP are promising projects they can’t deliver.

We can’t risk the LNP cutting the jobs of thousands of QLDers. https://t.co/ZKezdSbwfH",,,,,,,,,,cuts
Queensland Labor,Inala,Annastacia,Palaszczuk,https://twitter.com/AnnastaciaMP,F,1318152917413711874,2020-10-19T11:32:00.000000+0000,2020-10-19 13:15:37.000 +0000,256833444,AnnastaciaMP,"We’ve found just the spot for a new hospital and health precinct for the northern Gold Coast region in Coomera, and the land is already owned by Queensland Health.

All part of our $160 million investment in new and expanded hospitals on the Gold Coast.

@StevenJMiles #qldjobs https://t.co/sug4I82RHM",,,,,,,,,,promise
Queensland Labor,Inala,Annastacia,Palaszczuk,https://twitter.com/AnnastaciaMP,F,1318280765084520451,2020-10-19T20:00:01.000000+0000,2020-10-20 11:27:06.000 +0000,256833444,AnnastaciaMP,"It’s right there in the headline - and it’s in the fine print.

Our plan is all about keeping Queenslanders safe and in jobs.

#qldjobs #qldvotes https://t.co/BQ5khZSF7L",,,,,,,,,,promise
Queensland Labor,Inala,Annastacia,Palaszczuk,https://twitter.com/AnnastaciaMP,F,1318298100558045184,2020-10-19T21:08:54.000000+0000,2020-10-20 11:27:06.000 +0000,256833444,AnnastaciaMP,"Building on the Works for Queensland program, we’re announcing our $880 million Keeping Queensland Working program.

As part of our economic recovery plan, this is our commitment to another 17,800 regional jobs and dozens of regional projects.

#qldjobs https://t.co/rwG31YWKtQ",,,,,,,,,,promise
Queensland Labor,Inala,Annastacia,Palaszczuk,https://twitter.com/AnnastaciaMP,F,1318298102839701504,2020-10-19T21:08:55.000000+0000,2020-10-20 11:27:06.000 +0000,256833444,AnnastaciaMP,"Our government's Works for Queensland program has created or supported tens of thousands of jobs across every one of the state’s councils since 2016.

It's delivered benefits ranging from upgraded swimming pools, new libraries, skateparks and roads #qldjobs",,,,1318298100558045184,256833444,AnnastaciaMP,,,,promise
Queensland Labor,Inala,Annastacia,Palaszczuk,https://twitter.com/AnnastaciaMP,F,1318353086662938624,2020-10-20T00:47:24.000000+0000,2020-10-20 11:27:06.000 +0000,256833444,AnnastaciaMP,Our $5 billion Better M1 plan will support thousands of jobs and bust congestion around one of our busiest highways. Our strong actions on the border means major projects such as our M1 upgrades have powered ahead. It’s all part of Queensland’s economic recovery plan. #qldjobs https://t.co/PGeWS47pFb,,,,,,,,,,promise
Queensland Labor,Inala,Annastacia,Palaszczuk,https://twitter.com/AnnastaciaMP,F,1318417834834227200,2020-10-20T05:04:41.000000+0000,2020-10-20 11:27:06.000 +0000,256833444,AnnastaciaMP,"It’s 11 days until the election and Queensland has a clear choice to make.

Do we stay with rebuilding – or opt for recklessness?

Stability – or chaos.

Jobs – or cuts.

Queensland's economic recovery plan is real. And it's happening.

We can’t afford to go backwards.

#qldvotes https://t.co/Bz3kruvjA6",,,,,,,,,,promise
Queensland Labor,Waterford,Shannon,Fentiman,https://twitter.com/ShannonFentiman,F,1318698842527649792,2020-10-20T23:41:18.000000+0000,2020-10-21 01:28:03.000 +0000,2186029770,ShannonFentiman,"Stop #2 on the #CutsBus is the Rocky QBuild. 

Everyday the Cuts O’Metre just keeps on rising with every announcement Deb Frecklington and the LNP make. ✂️

The LNP stripped 1,654 jobs from QBuild last time they were in power.

#qldpol #dontrisklnpcuts https://t.co/bdQ6lHAJsS",,,,,,,,,,cuts
Queensland Labor,Waterford,Shannon,Fentiman,https://twitter.com/ShannonFentiman,F,1318698845652492289,2020-10-20T23:41:19.000000+0000,2020-10-21 01:28:03.000 +0000,2186029770,ShannonFentiman,"We’re committed to employing more people at QBuild like Barry by taking on an extra 300 tradies including 60 apprentices over the next 3 yrs. 🛠🧱

Only the Palaszczuk Gov has plan for Qld, which is all about investing in jobs and skills for now and into the future. 

#qldpol",,,,1318698842527649792,2186029770,ShannonFentiman,,,,promise
Liberal National,Nanango,Deb,Frecklington,https://twitter.com/DebFrecklington,F,1320162302428016640,2020-10-25T00:36:34.000000+0000,2020-10-25 06:05:05.000 +0000,632577753,DebFrecklington,Water infrastructure is vital which is why we’ll work with experts to fix Paradise Dam and I can also announce an @LNPQLD government will build Cooranga and Barlil Weirs creating 5000 new jobs and unlocking this region’s huge potential. #qldpol https://t.co/0YSZKxtsEW,,,,,,,,,,promise
Liberal National,Surfers Paradise,John-Paul,Langbroek,https://twitter.com/JPLangbroek,M,1320168045793345537,2020-10-25T00:59:24.000000+0000,2020-10-25 08:05:14.000 +0000,28298107,JPLangbroek,Top job Qlder @boss_glen: started  🏇🏽 in Gympie; wins @CoxPlate @TheValley on Sir Dragonet; part owned by Qlders Noel ‘Irish’ &amp; Maria Greenhalgh. How good does Verry Elleegant’s form look for #MelbourneCup? Beat 2019 🏴󠁧󠁢󠁥󠁮󠁧󠁿 Derby winner. @LNPQLD is Qld racing’s WFA champion #qldpol https://t.co/GVcORHhaq1,,,,,,,1319964354150912001,2613149754,Racing,other
Queensland Labor,Woodridge,Cameron,Dick,https://twitter.com/camerondickqld,M,1318689563187892224,2020-10-20T23:04:26.000000+0000,2020-10-21 04:28:15.000 +0000,236818401,camerondickqld,"A re-elected Palaszczuk Labor Government will build an inland highway from Charters Towers to Mungindi!

Only the Palaszczuk Labor Government has a plan for economic recovery. ✅📈 #qldvotes #qldjobs https://t.co/WP9zDNymiW",,,,,,,1318642644319375360,256833444,AnnastaciaMP,promise
Queensland Labor,Mansfield,Corrine,McMillan,https://twitter.com/mc_millan4,F,1318685403730247680,2020-10-20T22:47:54.000000+0000,2020-10-21 06:38:24.000 +0000,849851159057649664,mc_millan4,"BREAKING: If re-elected, we have a vision to build an inland highway from Charters Towers to Mungindi. #qldvotes #qldjobs https://t.co/a3RrMA9QJD",,,,,,,,,,promise
Queensland Greens,Nicklin,Sue,Etheridge,https://twitter.com/EtheridgeSue,F,1320116911934353408,2020-10-24T21:36:13.000000+0000,2020-10-25 07:05:10.000 +0000,1661487846,EtheridgeSue,Queensland election: why the resources council's jobs figures don't pass 'the laugh test' https://t.co/nJg8iUf64e,,,,,,,,,,other
Queensland Labor,Inala,Annastacia,Palaszczuk,https://twitter.com/AnnastaciaMP,F,1318690205793071104,2020-10-20T23:06:59.000000+0000,2020-10-21 09:38:38.000 +0000,256833444,AnnastaciaMP,"@KanteBeStopped7 @KanteBeStopped7, Queensland's economic recovery plan has been released for months now. It's a comprehensive strategy to help business and industry bounce back from the pandemic and will create 55,000 local jobs. https://t.co/wQ6EmwX0a8",,,,1318659847307448320,1080393096871927810,KanteBeStopped7,,,,promise
Queensland Labor,Inala,Annastacia,Palaszczuk,https://twitter.com/AnnastaciaMP,F,1318691116170973186,2020-10-20T23:10:36.000000+0000,2020-10-21 09:38:38.000 +0000,256833444,AnnastaciaMP,"@jumphs70 @jumphs70, we've been clear on how our commitments will be paid for: revenue and borrowings. The Treasurer will detail our costings before the election.

We're still waiting on the LNP to tell Queenslanders what jobs and services will be cut to pay for their unfunded promises.",,,,1318644912502366208,2481858498,jumphs70,,,,cuts
